Time,Lead I,Lead II,Lead III,aVR,aVL,aVF
1.515,0.0914945,0.892212,0.800718,-0.567943,-0.40947,0.977413
1.52,0.10039,0.891921,0.791531,-0.572911,-0.39903,0.971941
1.525,0.106247,0.891212,0.784964,-0.575883,-0.391857,0.96774
1.53,0.109267,0.890669,0.781402,-0.577313,-0.388057,0.96537
1.535,0.1099,0.889968,0.780068,-0.577273,-0.386921,0.964195
1.54,0.108036,0.888672,0.780636,-0.575449,-0.388326,0.963775
1.545,0.104207,0.887084,0.782876,-0.572322,-0.39183,0.964151
1.55,0.0992876,0.886495,0.787208,-0.569142,-0.397171,0.966313
1.555,0.0933333,0.887413,0.794079,-0.566234,-0.404576,0.970809
1.56,0.0857283,0.889045,0.803317,-0.562786,-0.4143,0.977085
1.565,0.0763304,0.891279,0.814949,-0.558649,-0.426441,0.985091
1.57,0.0652836,0.893666,0.828382,-0.553649,-0.440575,0.994224
1.575,0.0525787,0.894074,0.841496,-0.54655,-0.455481,1.00203
1.58,0.038841,0.8922,0.853359,-0.537536,-0.470262,1.0078
1.585,0.0254327,0.889797,0.864364,-0.528408,-0.484357,1.01277
1.59,0.012641,0.887446,0.874805,-0.519665,-0.49777,1.01744
1.595,-3.01E-05,0.885324,0.885354,-0.511124,-0.511177,1.0223
1.6,-0.0126757,0.883333,0.896008,-0.502674,-0.524629,1.0273
1.605,-0.0245429,0.881113,0.905656,-0.494541,-0.53705,1.03159
1.61,-0.034808,0.877839,0.912647,-0.486724,-0.547013,1.03374
1.615,-0.0431601,0.873632,0.916792,-0.479473,-0.554228,1.0337
1.62,-0.0493651,0.8683,0.917665,-0.472812,-0.558315,1.03113
1.625,-0.0531064,0.861682,0.914788,-0.466831,-0.558814,1.02564
1.63,-0.0544924,0.854923,0.909415,-0.462128,-0.556512,1.01864
1.635,-0.0540089,0.850008,0.904017,-0.45957,-0.553116,1.01269
1.64,-0.0521777,0.848461,0.900639,-0.459734,-0.550109,1.00984
1.645,-0.049828,0.849445,0.899273,-0.461659,-0.547963,1.00962
1.65,-0.0477731,0.850348,0.898121,-0.463366,-0.546112,1.00948
1.655,-0.0465258,0.850201,0.896727,-0.464002,-0.544587,1.00859
1.66,-0.0456962,0.848445,0.894141,-0.463467,-0.542615,1.00608
1.665,-0.0444907,0.845212,0.889703,-0.462297,-0.539357,1.00165
1.67,-0.0431784,0.841436,0.884614,-0.460874,-0.535661,0.996535
1.675,-0.042868,0.838106,0.880974,-0.45913,-0.53338,0.99251
1.68,-0.0440283,0.837151,0.881179,-0.457909,-0.534168,0.992078
1.685,-0.0460186,0.839045,0.885063,-0.457854,-0.53756,0.995414
1.69,-0.0479319,0.842615,0.890547,-0.458811,-0.541831,1.00064
1.695,-0.0487884,0.846457,0.895245,-0.460534,-0.545038,1.00557
1.7,-0.0478713,0.849185,0.897056,-0.462638,-0.545554,1.00819
1.705,-0.0454464,0.849929,0.895375,-0.464468,-0.543183,1.00765
1.71,-0.0426457,0.8486,0.891245,-0.465318,-0.539182,1.0045
1.715,-0.0404606,0.84576,0.88622,-0.464939,-0.535019,0.999959
1.72,-0.0391505,0.841896,0.881047,-0.463465,-0.531276,0.994741
1.725,-0.0384121,0.836917,0.875329,-0.461017,-0.527548,0.988565
1.73,-0.038303,0.830783,0.869086,-0.457538,-0.523881,0.98142
1.735,-0.0388353,0.824162,0.862997,-0.453408,-0.520673,0.974082
1.74,-0.0393668,0.81822,0.857587,-0.449671,-0.517856,0.967527
1.745,-0.040037,0.812605,0.852642,-0.446042,-0.515388,0.961431
1.75,-0.041741,0.806855,0.848596,-0.441738,-0.514036,0.955774
1.755,-0.0442316,0.800833,0.845064,-0.436824,-0.513435,0.950259
1.76,-0.0462947,0.794884,0.841179,-0.432198,-0.512383,0.944581
1.765,-0.0476207,0.789548,0.837169,-0.428352,-0.510833,0.939185
1.77,-0.0489131,0.785089,0.834002,-0.425031,-0.509751,0.934782
1.775,-0.0499132,0.782458,0.832372,-0.422935,-0.509387,0.932322
1.78,-0.0503189,0.78192,0.832239,-0.42239,-0.509545,0.931935
1.785,-0.0507966,0.782237,0.833033,-0.422297,-0.510279,0.932576
1.79,-0.0521687,0.782002,0.83417,-0.421369,-0.511728,0.933097
1.795,-0.0541525,0.780641,0.834793,-0.419438,-0.513233,0.932671
1.8,-0.0559274,0.778307,0.834234,-0.417066,-0.513935,0.931001
1.805,-0.0573268,0.774779,0.832105,-0.414221,-0.513514,0.927735
1.81,-0.0586143,0.770109,0.828723,-0.410781,-0.512304,0.923085
1.815,-0.0595874,0.766002,0.82559,-0.407849,-0.511057,0.918906
1.82,-0.0602138,0.764326,0.824539,-0.406519,-0.510812,0.917331
1.825,-0.060636,0.764953,0.825589,-0.406637,-0.511662,0.918299
1.83,-0.0605994,0.766391,0.82699,-0.407489,-0.51245,0.919939
1.835,-0.0599131,0.768147,0.82806,-0.408899,-0.512671,0.92157
1.84,-0.0588571,0.771196,0.830053,-0.411269,-0.513212,0.924481
