Time,Lead I,Lead II,Lead III,aVR,aVL,aVF
1.165,-0.148171,0.240538,0.388708,-0.0533279,-0.309967,0.363295
1.17,-0.145503,0.237736,0.383239,-0.0532506,-0.305269,0.35852
1.175,-0.137175,0.223596,0.360772,-0.0498952,-0.28749,0.337385
1.18,-0.129447,0.19924,0.328687,-0.0402945,-0.264504,0.304798
1.185,-0.129622,0.168397,0.298019,-0.022387,-0.246899,0.269286
1.19,-0.138217,0.136101,0.274317,0.00122169,-0.238177,0.236955
1.195,-0.149273,0.105736,0.255009,0.0251359,-0.233412,0.208276
1.2,-0.156663,0.0794372,0.2361,0.0445862,-0.226762,0.182175
1.205,-0.158063,0.0586668,0.21673,0.0573866,-0.216387,0.159
1.21,-0.155413,0.0434093,0.198822,0.0646654,-0.204518,0.139852
1.215,-0.151438,0.0338708,0.185309,0.0678775,-0.194421,0.126543
1.22,-0.147011,0.0293486,0.17636,0.0679324,-0.186698,0.118766
1.225,-0.144177,0.0275171,0.171694,0.0673536,-0.182368,0.115015
1.23,-0.144193,0.0257447,0.169938,0.0683863,-0.181364,0.112977
1.235,-0.143723,0.0258878,0.169611,0.0680324,-0.180904,0.112871
1.24,-0.135297,0.0380347,0.173331,0.0561542,-0.178186,0.122032
1.245,-0.113475,0.0791899,0.192665,0.0197944,-0.17675,0.156955
1.25,-0.084227,0.169768,0.253995,-0.0493868,-0.195272,0.244659
1.255,-0.063494,0.329736,0.39323,-0.153715,-0.26369,0.417405
1.26,-0.0651413,0.565008,0.63015,-0.288598,-0.401426,0.690025
1.265,-0.0966985,0.843174,0.939872,-0.430978,-0.598464,1.02944
1.27,-0.15744,1.08266,1.2401,-0.534176,-0.80687,1.34105
1.275,-0.235113,1.18924,1.42435,-0.550866,-0.958093,1.50896
1.28,-0.308778,1.12268,1.43146,-0.469905,-1.00472,1.47463
1.285,-0.358383,0.923152,1.28153,-0.32607,-0.946806,1.27288
1.29,-0.375099,0.674488,1.04959,-0.172852,-0.822543,0.995395
